0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,200.0,-7.0473,-26.4141,1.097,8.243
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,180.0,-5.76,-23.2923,0.499,6.9514
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,160.0,-4.6742,-20.4345,0.0311,5.8539
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,140.0,-3.7574,-17.7729,-0.3174,4.9112
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,120.0,-2.9807,-15.249,-0.5546,4.0938
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,100.0,-2.3189,-12.8098,-0.6867,3.3786
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,80.0,-1.7492,-10.4045,-0.7185,2.7479
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,60.0,-1.2514,-7.9816,-0.6536,2.1872
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,40.0,-0.8064,-5.4855,-0.4945,1.6853
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,20.0,-0.3957,-2.8517,-0.2431,1.2331
